Datetime,Username,Text,Cleaned_Tweets
4/3/2023,earthmixnospacesg,@Rai_Sings I buy all their merchandise from fff concert dvd to mugs I have waited for months to get these things but I am happy with it because I like earthmix. I mean if you really support #earthmix  #??????????? supporting them by the right ways if you can’t afford then watch their shows https://t.co/vcr3TToOR4,buy merchandise fff concert dvd mug waited month get thing happy like earthmix mean really support supporting right way cant afford watch show
4/3/2023,Jehad Al Hafid??,"@ahmed_baokbah We can’t afford to lose Stroll specially after losing Latifi this season…
Who else would bring out the safety car when we need it ? ??",cant afford lose stroll specially losing latifi season else would bring safety car need
9/3/2023,NFI ??,"@Alexhkf1 Bismlah, im trying my luck. Wanted to get for myself but its so expensive and I can’t afford it :’) https://t.co/g31xL8yL1b",bismlah im trying luck wanted get expensive cant afford
10/3/2023,shazeen ifamy,Can anyone answer me on how good is @OfficialSLC’s over rate? We can’t afford any penalties. #NZvSL,anyone answer good rate cant afford penalty
11/3/2023,Gab Yang in LA from 18 to 25 March,@Nicknick2109 We can’t afford the fork bro..,cant afford fork bro
11/3/2023,Un.poco.loco.loco ??,"i stopped playing ML for a while now. but I'm really looking forward for the Vale Skin ? however, dami ko pa utang, can't afford to spend on games anymore.",stopped playing ml im really looking forward vale skin however dami ko pa utang cant afford spend game anymore
12/3/2023,Srith7,"I think social media apps should charge certain DMs, which involves giving opinion, problem solving or blant rant. Can't afford to do that for FREE. ??",think social medium apps charge certain dm involves giving opinion problem solving blant rant cant afford free
13/3/2023,Amani Salim ??????,@abd_jabbar Haha saje je ni sbb TSMY won Oscar! As a startup Founder we can’t afford holidays anyway ??,haha saje je ni sbb tsmy oscar startup founder cant afford holiday anyway
13/3/2023,Amani Salim ??????,"They will save the bank la, can’t afford to have banking system collapsed kot. Hope all the startups get back to business because all those are really distraction.  Monday resume as normal. ????",save bank la cant afford banking system collapsed kot hope startup get back business really distraction monday resume normal
14/3/2023,Calvin Lee,"@guardianworld It has already started and more Asian countries may considering buying
sophisticated weapons even when they can't afford hurting their people ways of living in anticipating something bad shall be happening soon.",already started asian country may considering buying sophisticated weapon even cant afford hurting people way living anticipating something bad shall happening soon
14/3/2023,Alex Oi | in HCMC ??????????????????,International bilingual school I think I’d go for. More affordable. I’m surprised by some of my co workers who said public school though. I’m never having kids anyway ?? can’t afford to have them never mind paying for school supplies,international bilingual school think id go affordable im surprised co worker said public school though im never kid anyway cant afford never mind paying school supply
15/3/2023,Endang Hyder,"It is soon to enter Ramadhan. I need help to fill up ayah’s fund due to I am myself can’t afford to share much of my income to support him to be comfort in his bed. You too can hire me to perform which will help my father a lot

https://t.co/TGiy0mEY1S https://t.co/aVCB6KsbOi",soon enter ramadhan need help fill ayah fund due cant afford share much income support comfort bed hire perform help father lot
17/3/2023,Phuket Sammy,"@asiapac001 @pureguava10300 Iceland is still on sis and I list... But don't think we can afford it. ??

Norway and Sweden likewise, to a slightly lesser extent.",iceland still si list dont think afford norway sweden likewise slightly lesser extent
18/3/2023,Tyler ??,"Considering an EV Car? Buy PHEV Instead, I think you can't afford the queues at RnR's. If you insists, buy a Volvo XC40 Recharge or BMW iX, good range, good KERS system, works like the way it is, Tesla? Malaysia has recond only, no warranty from sc.",considering ev car buy phev instead think cant afford queue rnrs insists buy volvo xc recharge bmw ix good range good kers system work like way tesla malaysia recond warranty sc
21/3/2023,Crypto Rojak,"2) Live below your means 

If you can’t afford it twice, don’t buy it. 

Do not based on instalment plan if you can afford to purchase an item. 

Make sure your income is always higher than your expense every month.",live mean cant afford twice dont buy based instalment plan afford purchase item make sure income always higher expense every month
22/3/2023,Siti Syamira,Max RM300. Can’t afford more than that ?? https://t.co/EfgveMWpmh,max rm cant afford
22/3/2023,??,"@askrapidkl @anthonyloke in case u dont know, Malaysia is a tropical country located in South East Asia, we cannot afford the train system to be faulty each time it rains. Tq https://t.co/poMWcz3M7e",case u dont know malaysia tropical country located south east asia afford train system faulty time rain tq
22/3/2023,Martin G,"One for the road.
(I can't afford more than one) https://t.co/gg8C8Oxvqg",one road cant afford one
22/3/2023,Tart,"@Culture_Crit The more millionaires we have, the less affordable life is for the average low income consumer and workforce.  The wealth gap is too large. If you can't afford a house for $1 million, the wealthy will pay double just to rent it out to people who can not afford to own.",millionaire le affordable life average low income consumer workforce wealth gap large cant afford house million wealthy pay double rent people afford
23/3/2023,h,Hahah i really hate people who says they are busy thus can’t afford to do certain things. Just say the person/thing is not your priority and you are not capable in managing time. That’s it.,hahah really hate people say busy thus cant afford certain thing say personthing priority capable managing time thats
28/3/2023,Intan ?? Carats ?? VIP ??,I don’t think I can go to SVT concert in Seoul cause they didn’t even announce anything yet. The flight ticket must be mad high since all last minute. I cannot afford that. I wish they announce like 6 month earlier? Haha sigh ????. Just not in my capacity to do that yet,dont think go svt concert seoul cause didnt even announce anything yet flight ticket must mad high since last minute afford wish announce like month earlier haha sigh capacity yet
28/3/2023,Euan Graham,Big problem. At least one embassy is closing down while others are relocating staff because they can’t afford rent in Singapore. https://t.co/uK4HcyuGwk,big problem least one embassy closing others relocating staff cant afford rent singapore
