Datetime,ID,Username,Text,Tranlsated_Tweets,Location
2023-03-30 02:10:33+00:00,1641261602581381122,Xiubydoo1,"Beli tiket 2 bulan sebelum berangkat dapet di harga 3,3 berangkat selasa malem jam 8 sampe singapore jam 11  transit singapore 18,5 jem karena emang pengen explore singapore naik scoot jadi kabin dapet 10 kg (1 tas pribadi 1 tas barang) pergi ga beli bagasi",Buy a 2 -month ticket before leaving for 3.3 departed Tuesday at 8 o'clock Singapore at 11 o'clock Singapore 18.5 jam because Pengen Explore Singapore upside to scoot a 10 kg dapet cabin (1 Personal 1 bag) baggage,Thailand
2023-03-30 01:09:07+00:00,1641246139856064512,cik_arissa,@mnrtherock @rafiziramli Baru ni je ke harga barang naik? Sblm ni kau tido dlm gua ke? Baru bangun?,@mnrtherock @rafiziramli New to the price of goods up? Before you are in my cave? Just woke up?,Shah Alam
2023-03-30 00:10:40+00:00,1641231433107914752,ArisyaArianna,Harga barang makin naik tapi harga diri?,The price of goods goes up but self -esteem?,"Kuala Lumpur,Malaysia"
2023-03-29 18:17:21+00:00,1641142514752311296,Salim_Iskandar,"Anney Zambry, berkilat betul awak sejak kebelakangan ni. Memang terpancer nur nampaknya. Kes MAPS kat Perak awak tak jawab lagi. Kes national embarassment Saudi masih belum jelas. Kita kat sini tgh menderita dengan kenaikan harga barang. Awak Zambry, lepas buat blunder pasal… https://t.co/SeMrfagSeB","Anney Zambry, you've been shiny lately. It seems like Nur seems to be. The case of MAPS in your silver is no longer answered. The Saudi National Embarassment case is still unclear. We are here to suffer from rising prices. You Zambry, after making a bluner… https://t.co/semrfagseb",Kuala Lumpur City
2023-03-29 14:39:04+00:00,1641087584083509248,Aryprasetyo85,"Presiden pun memastikan bahwa pemerintah akan menjamin pasokan kebutuhan pokok di setiap daerah. Presiden mengatakan bahwa pasokan penting untuk dijaga agar harga barang dan inflasi dapat terkendali.

""Ini saya kira pengin melihat betul-betul inflasi terkendali, harga itu naik… https://t.co/EkgAHaSa4R","The President also ensures that the government will guarantee a tree in every district. The president said that it was important to keep the prices of goods and inflation.

""This is what I think of the inflation, the price goes up ... https://t.co/ekg bg4r","Jakarta Pusat, DKI Jakarta"
2023-03-29 14:32:43+00:00,1641085986829647874,faridzramlee,@mkhairulazri Tau tak pe.. padahal tak buat apa2 pon. Harga barang tetap naik 🤣🤣,@mkhairulazri tau tak pe .. but don't do anything. The price of goods is still rising 🤣🤣,Meru Klang
2023-03-29 14:09:51+00:00,1641080232206823425,bebyreesti,"@tan_rachman @AnggaPutraF Setuju banget, harga barang semua naik tapi gaji asn flat aja 🤣 bensin bolak balik kantor udah brp, tapi gaji segitu2 aja 😌","@tan_rachman @gangaputraf agrees, the price of the goods is rising but the salary of the flat is 🤣 Bensin back and forth, but the salary is just that 😌","Tanjungpinang, Indonesia"
2023-03-29 12:24:29+00:00,1641053714512502786,kangdede78,"Presiden pun memastikan bahwa pemerintah akan menjamin pasokan kebutuhan pokok di setiap daerah. Presiden mengatakan bahwa pasokan penting untuk dijaga agar harga barang dan inflasi dapat terkendali.

""Ini saya kira pengin melihat betul-betul inflasi terkendali, harga itu naik… https://t.co/VENJClZHDL","The President also ensures that the government will guarantee a tree in every district. The president said that it was important to keep the prices of goods and inflation.

""This is what I think of the inflation, the price goes up ... https://t.co/venjclzhdl","Jakarta Pusat, DKI Jakarta"
2023-03-29 09:36:00+00:00,1641011315652325376,iina_surbakti,"""Ini saya kira pengin melihat betul-betul inflasi terkendali, harga itu naik satu, dua barang biasa kalau lebaran pasti seperti itu, tapi memastikan bahwa pasokan itu harus ada,"" tutur Presiden Jokowi.

Maros, 29 Maret 2023
BPMI Sekretariat Presiden
https://t.co/mR9aeGuBTj https://t.co/OPwNrE8Atk","""This is why I think the inflation is completely underestimated, the price goes up one, two ordinary items if the holiday is definitely like that, but ensuring that the crash should be,"" President Jokowi said.

Maros, 29 Maret 2023
BPMI Presidential Secretariat
https://t.co/mr9aegubtj https://t.co/opwnre8atk",Indonesia
2023-03-29 08:44:57+00:00,1640998466351665153,superluq,"barang lain harga dari murah naik jadi mahal. harga beras dari mahal, naik jadi slightly more mahal every few months. just bcause harga beras tak naik mendadak, doesn’t mean there’s no problem with the starting price

everything is relative","Other items from cheap rise so expensive. The price of rice from expensive, rising to slightly more expensive every few months. Just bcause the price of rice does not rise suddenly, does not mean there's no problem with the starting price

Everything is relative",Malaysia
2023-03-29 06:34:27+00:00,1640965625475629057,rkij_sukabumi,"Gubernur Jawa Barat Ridwan Kamil mengatakan harga bahan makanan mayoritas naik pada bulan Ramadan ini. Dia menuturkan, pemicu naiknya harga barang karena naiknya permintaan pasar.","West Java Governor Ridwan Kamil says the price of food for food has risen this month. He said, triggers rose prices for goods due to the rising market demand.","Sukabumi, Indonesia"
2023-03-29 06:24:17+00:00,1640963065192779776,AuFaitMY,"@syahredzan Dah lama beri masa, harga barang tak turun pun, malah naik lagi!","@SyahRedzan has given time, the price of goods has not dropped, and even goes up!","Petaling, Selangor"
2023-03-29 06:21:34+00:00,1640962381768708096,RockTheMoon_Co,"✅Est EMS+TAX
💫Harga di atas masih estimasi, bisa naik/turun tergantung berat barang, pajak, kurs saat check out, dll
✅Fullset, Sealed
✅Pelunasan Shop*/Non Shop*
✅Open reseller
❌Exclude packing
❌Tidak bisa ganti member maupun merchandise setelah order","✅est EMS+Tax
💫The above price is still estimated, can rise/down heavy items, taxes, curses when checking out, etc.
✅Fullset, Sealed
✅ Shop*/Non Shop*
✅Open Reseller
❌Exclude Packing
❌Do not replace members or merchandise after order","Depok, Jawa Barat"
2023-03-29 05:18:42+00:00,1640946560740499457,Salim_Iskandar,"@dyanasmd Lead for who? We the rakyat never chose him and he failed la. Telur also cannot setel. How? Harga barang jangan cerita la. Saya ulammm, ini hari naik esok minyak turun. Sold to much empty dream eh? https://t.co/UEWH08kZ9v","@dyanasmd lead for who? We the people never chose him and he failed la. Eggs also cannot set. How? The price of the goods is not to tell. I'm Ulammm, this is the day of the oil going down. Sold to much empty dream eh? https://t.co/UEWH08KZ9V",Kuala Lumpur City
2023-03-29 04:48:47+00:00,1640939034490052610,adri_suma,Harga Harga barang merangkak naik,The price of crawling goods goes up,"DKI Jakarta, Indonesia"
2023-03-29 03:14:53+00:00,1640915401143107585,encikdoomex,"Patut Kerajaan PM""x"" anjur Bazar Rahmah kelolaan agensi kerajaan di seluruh negara 😁 baru betul
Ini Rahmah pala hatok depa lah 🤭
Dulu2 apa puak2 penyokong DSAI tak bercakap dimedsos pasai harga barang mahal. Asal naik mesti salah BN kononnya Barang Naik sbb BN memerintah 🤣🤣🤣","PM ""X"" government should be organized
This is a rahmah pala hatok front 🤭
In the past, what DSAI supporters did not talk about expensive goods prices. The origin of the BN must be the case that the goods go up as the BN rules 🤣🤣🤣","Kedah, Malaysia"
2023-03-29 00:57:02+00:00,1640880710054735872,syafilanseyo,"Guna alasan cringe yang sama “barang dah naik harga” padahal nak untung berlipat ganda. 

Gula 1kg naik dua tiga sen tapi air jualan yang tawar dari rm3 naik rm5 sebungkus https://t.co/TpuKbKfzCa","Use the same cringe reasons ""goods are up price"" when it comes to double.

1kg sugar rises two to three cents but the sales water of RM3 rises RM5 a pack https://t.co/tpukbkfzca",ipoh
2023-03-29 00:53:00+00:00,1640879695834099712,MalaysiaGazette,"#ICYMI Harga barang terus naik #malaysiagazette 
https://t.co/kzzHFh3DTM","#Icymi The price of goods continues to rise #malaysiagazette
https://t.co/kzzhfh3dtm",Kuala Lumpur
2023-03-29 00:30:00+00:00,1640873910274240512,501Awani,"Musim perayaan lazim dikaitkan dengan kenaikan harga barang yang disifatkan melambung. Apa strategi dan usaha boleh dilaksanakan bagi menanganinya untuk melindungi pengguna. 

#AWANInews https://t.co/LEIdvYNQ09","The festive season is commonly associated with rising prices of goods that are considered to be soared. What strategies and efforts can be implemented to address it to protect consumers.

#Awaninews https://t.co/leidvynq09",Malaysia
2023-03-28 22:06:45+00:00,1640837858230689793,visvick32,"@ismet_ulam Sbb di sekinchan mengadu pada DAP. Begitu juga pasal durian Raub. Monopoli mereka diam sj, x boleh bertindak. Cube kawal harga barang? Gaji min naik?intern bergaji? Tapi foreign worker waktu Covid pun ttp kena bagi. Menampung eko negara / kocek mereka adalah ‘ grey area’ .","@ismet_ulam in Sekinchan complains to DAP. The same goes for Durian Raub. Their monopoly is silent, x can act. Cube control the price of goods? Min's salary goes up? But the foreign worker of the covid time is not available. Conducting their country's eco / gray area is a 'gray area'.",Kuala Lumpur City
2023-03-28 16:51:59+00:00,1640758643179274240,AsahPisau,@YaakubHawa Pelabur asing lari? Harga barang naik mencanak²? Ambil mana data ni kak?,@Yaakubhawa foreign investors run away? The price of goods goes up? Where is this data?,"Kajang, Selangor"
2023-03-28 14:58:14+00:00,1640730019348758528,ashafiqbal,"Tak dinafikan,Harga Barang naik,betul yg berniaga cuba sehabis baik utk kekalkan harga.Tapi kdg²,kata Air Tembikai,Air Manga,Fresh buah blend,beli time berbuka,Rasa Kordial.Kejujuran di mana?Belum beli asa yg Basi.","Undoubtedly, the price of goods goes up, the business is right to try to keep the price.","Gombak, Selangor"
2023-03-28 14:55:31+00:00,1640729336876761089,amirlong36,@ih_tr @matRBag @rafiziramli Ya ini kalilah barang semua oun naik. Menu rahmah? Harga baja naik 100% since last year. Rahmat betul https://t.co/AV3UH5wxzd,@ih_tr @matrbag @rafiziramli yes this is the item all the stuff goes up. Menu Rahmah? The fertilizer price has risen 100% since last year. Right mercy https://t.co/AV3UH5WXZD,Kuala Lumpur City
2023-03-28 14:19:51+00:00,1640720359715663872,amir_alpan,@ahousht @Fahmy_TEGAL @KompasTV Ttp saya 300an perbulan. Iya cuma 300. Kira2 cocoknya naik berapa kk? Saya ngajar di pedalaman Kalimantan dg jalan rusak dan harga barang mahal,@ahousht @fahmy_tegal @kompastv ttp me 300s month. Yes only 300. How much does it rise to KK? I teach in the interior of Kalimantan and the roads are damaged and the prices of expensive goods,di pantai
2023-03-28 12:41:45+00:00,1640695671698382848,hmetromy,"#kualalumpur Kementerian Perdagangan Dalam Negeri dan Kos Sara Hidup (KPDN) menerima 17 aduan berhubung kenaikan harga barang termasuk di bazar Ramadan di seluruh negara, semalam. https://t.co/ZESmnRBjGV",#Kualalumpur The Ministry of Domestic Trade and Life Cost (KPDN) received 17 complaints regarding rising prices of goods including Ramadan bazaars nationwide yesterday. https://t.co/zesmnrbjgv,Malaysia
2023-03-28 11:57:09+00:00,1640684449657667585,nnastria_,"Harga bahan makanan naik, barang diskinan berkurang, trus harga apartemen juga naik 🥲","Food prices go up, diminished goods, and apartment prices also go up 🥲",Denpasar
2023-03-28 10:50:43+00:00,1640667728506912771,zophanem,"3. Banyak benda mahal gila sekarang. Mee hun mee goreng RM6. Roti john RM8 paling murah. Disebabkan dalam Putrajaya dengan harga barang mentah dan minyak naik harga, ok lah.

4. Presentation tu penting ye. Kedai aku beli meehun ni dia letak je ketam dengan tepung. Buruk gila-","3. Many expensive crazy things now. Mee Hun Mee Fried RM6. Cheap RM8 John Bread. Because in Putrajaya with prices of crude goods and oil prices, it's ok.

4. The presentation is important. The shop I bought this meal is that he puts crabs with flour. Bad crazy-",Putrajaya
2023-03-28 10:11:28+00:00,1640657853416611842,AuFaitMY,@syahredzan PHBN pasti harga barang naik ni fitnah ka?,@syahredzan phbn sure the price of goods goes up is slander?,"Petaling, Selangor"
2023-03-28 10:01:12+00:00,1640655268378980353,syahiraimann,"@azlie812 @RahiminYasmine @rafiziramli Apa yg saudara cakap tu betul.. Rafizi mmg bangang dulu2 tapi nmpk effort dia.. Buat PC explain semua.. IPR intan insan, rahmah...asalkan buat kerja.. Better dari PN ak ingt lagi harga Menaik haram xde usaha langsung. Yang ada menteri zawawi cakap harga barang naik x kan selesai","@azlie812 @rahiminyasmine @rafiziramli what you say is right .. rafizi mmg bangang first2 but nmpk effort him .. make pc explain all .. IPR Intan human, rahmah ... as long as work .. better from pn ak ingt more price Haram is illegal xde direct effort. The Minister of Zawawi says the price of goods goes up x is over",Malaysia
2023-03-28 08:46:22+00:00,1640636435106795520,Chila88888,@bdleonanda Harga barang apa akan turun juga ya. Biasa klo naik dolar barang akan naik.,@bdleonanda The price of the goods will go down too. Usually the dollar will go up.,Indonesia
2023-03-28 08:34:12+00:00,1640633374678343680,RockTheMoon_Co,"- Minimal terisi 5 slot, jika tidak terisi 5 slot akan dikenakan ongkir lokal Korea est 35K-50K

✅Est EMS+TAX
💫Harga di atas masih estimasi, bisa naik/turun tergantung berat barang, pajak, kurs saat check out, dll
✅Fullset, Sealed
✅Pelunasan Shop*/Non Shop*
✅Open reseller https://t.co/GxvoeccuHH","- Minimal filled 5 slots, if not filled 5 slots will be charged local korean locals est 35k-50k

✅est EMS+Tax
💫The above price is still estimated, can rise/down heavy items, taxes, curses when checking out, etc.
✅Fullset, Sealed
✅ Shop*/Non Shop*
✅Open reseller https://t.co/gxvoeccuhh","Depok, Jawa Barat"
2023-03-28 07:33:42+00:00,1640618149610418176,hmetromy,"#kualalumpur Kenaikan harga barang mentah di ibu kota menyebabkan kebanyakan peniaga makanan bazar Ramadan terpaksa menaikkan harga jualan untuk menampung kos.
https://t.co/dvHykUJID0","#Kualalumpur The rise of raw prices in the capital has caused most Ramadan bazaar food traders to raise sales prices to cover costs.
https://t.co/dvhykujid0",Malaysia
2023-03-28 04:55:04+00:00,1640578228707528704,mediaindonesia,Pentingnya terobosan tersebut sangat diperlukan karena saat ini terjadi kenaikan harga musiman akibat tingginya permintaan barang dan jasa.  https://t.co/PUtCuwzWpS,The importance of such breakthroughs is essential because it is currently rising in seasonal prices due to the high demand for goods and services. https://t.co/putcuwzwps,Jakarta - Indonesia
2023-03-28 04:51:44+00:00,1640577388676530176,mater5259,"@kamalia54105994 @LHDNMofficial Keluar kwsp bukan penyelesaian terbaik sebenarnya, harga barang naik menggila, kos sara hidup meninggi sekarang, pak² menteri takde penyelesaian ke? Naik gaji tak guna jgk inflasi meningkat....rasa mcm nak maki xsampai pulak hati...hanya Allah tempat bergantung","@kamalia54105994 @lhdnmofficial out EPF is not the best solution, the price of goods goes up, the cost of living now, the minister has no solution? Raise your paycheck and inflation increases .... I feel like I want to get your heart ... Only God depends on",Seremban
2023-03-28 04:12:27+00:00,1640567501921681413,myvegprice,"Ramadan lebih ceria, harga barang tak naik - Kosmo Digital https://t.co/sLbfyEgEh0 #beritasayur #malaysia","Ramadan is more cheerful, prices of goods do not rise - Digital Cosmo https://t.co/slbfyegeh0 #beritasayur #malaysia",Malaysia
2023-03-28 04:07:24+00:00,1640566232582848512,WalaunUnited,"@BernamaTV @anwaribrahim Dalam sejarah PM, ini adalah PM paling tak guna. Harga barang naik terus","@Bernamatv @anwaribrahim In the history of PM, this is the most useless PM. Prices of goods go up straight","Selangor, Malaysia"
2023-03-28 02:57:46+00:00,1640548707195297792,nyonyacyber,"setakat apps semak harga barang.. harga ttp jugak naik mencanak2.. lainlah kalau ada apps boleh buat harga brg turun... problem skrg harga brg semua meningkat, itu yg patut kerajaan cari jalan...  tak kan jumpa yg murah jauh berkilometer dari rumah kau nak terjah pergi jauh2???","As far as apps check prices of goods .. prices but also rise .. otherwise if any apps can make the price go down ... the problem is that the price is rising, that's what the government should look for ... Your house is going to go far away ???",kuala lumpur
2023-03-28 00:05:55+00:00,1640505462171869184,kosmo_online,"Bila harga barang naik, bawa duit RM50 hanya dapat dua lauk di bazar Ramadan https://t.co/MBf9EJX3Vk","When the price of the goods goes up, bring the RM50 money to only two side dishes at the Ramadan bazaar https://t.co/mbf9ejx3vk",Malaysia
2023-03-27 21:35:59+00:00,1640467730070646786,adamadlin,@Lord_MoSBY @malaymail @rafiziramli Sebelum ni rakyat tak bijak menilai harga? Habis tu kenapa rakyat complain harga barang naik?,@Lord_mosby @malaymail @rafiziramli Before this people are not wise to evaluate prices? Then why are the people complaining about the price of goods?,Shah Alam
2023-03-27 19:10:41+00:00,1640431161351770117,ArisyaArianna,Kenaikan harga minyak akan menyebabkan kenaikan harga barang walaupun 20 sen sekalipun.,The increase in oil prices will result in rising prices of goods even 20 cents.,"Kuala Lumpur,Malaysia"
2023-03-27 16:03:35+00:00,1640384077403664384,fakebeauty69,@jasonyew @anwaribrahim Aku lagi pelik harga barang melampau2 naik selepas pemerintahan pm10 ni!,@jasonyew @anwaribrahim I'm weird for the price of extreme goods to rise after this PM10 rule!,Malaysia
2023-03-27 15:54:13+00:00,1640381719550529536,SokongKomunisPH,@fairuz_azmi83 Madaniii sguh. Harga barang naik teruk. Macai PH apa tahu kerja main twitter je pastu minx duit. Hmmmm reformasi,@fairuz_azmi83 madaniii sguh. The price of goods goes up. Macai PH knows how to play twitter je pastu minx money. Hmmmm reform,"Perak, Malaysia"
2023-03-27 14:05:04+00:00,1640354251569512451,jpnncom,"Update Barang Kebutuhan Pokok di Bantul, Harga 3 Komoditas Ini Naik #hargabarangkebutuhanpokok https://t.co/uQ27rrYwc2","Update of tree wrinkles in Bantul, the price of this 3 commodity goes up #hargabarangkeringkok https://t.co/uq27rrywc2",Indonesia
2023-03-27 13:01:41+00:00,1640338301306703873,JegukN,"@rafiziramli Harga barang Naik.
Can index reduce price?","@rafiziramli prices of goods go up.
Can Index Reduce Price?","Kuching, Sarawak"
2023-03-27 12:25:39+00:00,1640329233536024577,Syihabuddin93,"@wktong2012 @malaysia_kiri Rakyat mana tu? Indah ke? Harga barang tak turun, tapi naik. Indah apa? Indah water?","@wktong2012 @malaysia_kiri where is the people? Beautiful? The price of the goods didn't go down, but it went up. What's so beautiful? Indah Water?",Malaysia
2023-03-27 11:49:09+00:00,1640320045711753218,NaufalAntezem,"Termenung aku tadi nak beli Roti John kat satu bazar di Muar ni. RM 10 kawan-kawan. 

Aku faham barang naik harga tapi harga Roti John dah sama hargabdengan sepinggan nasi ayam penyet yang kedai aku jual, risau jugak. 

Sudahnya aku beli burger sambal je. Itupun 5 ketul RM 3 😭","I thought I wanted to buy a john bread at a bazaar in Muar. RM 10 friends.

I understand the price goes up but the price of John's bread is the same as a plate of chicken rice soup that I sell, worried.

I've bought a sambal burger. That's 5 tablespoons RM 3 😭",Malaysia
2023-03-27 09:50:30+00:00,1640290186897817602,hasreypriady,@vijaymunisamy @apanakdikato Harga barang naik bukan masalah besar.. tu lah idea dia,@vijaymunisamy @apanakdikato The price of goods goes up is not a big problem .. that's his idea,Petaling Jaya
2023-03-27 09:37:51+00:00,1640287005295939584,AliAhme70978158,Actually it reminded me of Egypt selepas Husni Mubarak jatuh. Ikhwanul Muslimin naik. Semua org happy. Selepas 2-3 bulan demand macam2. Nak harga barang turun. Nak subsidi makanan. Sudahnya Kjaan Ikhwan tumbang. Tak sabar masing2,Actually it reminded me of Egypt after Husni Mubarak fell. The Muslim Brotherhood goes up. Everyone is happy. After 2-3 months of demand. For the price of goods to go down. Want to subsidize food. The Brotherhood is already falling. Can't wait,"Seremban, Negeri Sembilan"
2023-03-27 09:29:58+00:00,1640285022082183172,missshimacma,duk main naratif harga barang kilang turun. turun kat mana tak tau. yg kerja kilang duk hadap costing naik memanjang. turun celah mana. sembang.,Play the narrative of factory prices down. Get down where you don't know. The factory work is facing the costing rise. Get off the gap. chat.,"Selangor, Malaysia"
2023-03-27 08:49:32+00:00,1640274844842434560,bharianmy,"#BHnasional Pekebun getah juga terkesan kenaikan harga barang, kos sara hidup

https://t.co/eSWKchD1kf","#Bhnational rubber farmers are also affected by rising prices, cost of living

https://t.co/eswkchd1kf",Malaysia
2023-03-27 08:39:53+00:00,1640272416495771649,RockTheMoon_Co,"✅Est EMS+TAX
💫Harga di atas masih estimasi, bisa naik/turun tergantung berat barang, pajak, kurs saat check out, dll
✅Fullset, Sealed
✅Pelunasan Shop*/Non Shop*
✅Open reseller
✅Include standard packing = bubble wrap + polymailer
✅Bisa pilih versi/member (LIMITED)","✅est EMS+Tax
💫The above price is still estimated, can rise/down heavy items, taxes, curses when checking out, etc.
✅Fullset, Sealed
✅ Shop*/Non Shop*
✅Open Reseller
✅include Standard Packing = Bubble Wrap + Polymailer
✅Choose Version/Member (LIMITED)","Depok, Jawa Barat"
2023-03-27 08:36:27+00:00,1640271552431419392,RockTheMoon_Co,"✅Est EMS+TAX
💫Harga di atas masih estimasi, bisa naik/turun tergantung berat barang, pajak, kurs saat check out, dll
✅Fullset, Sealed
✅Pelunasan Shop*/Non Shop*
✅Open reseller
✅Include standard packing = bubble wrap + polymailer","✅est EMS+Tax
💫The above price is still estimated, can rise/down heavy items, taxes, curses when checking out, etc.
✅Fullset, Sealed
✅ Shop*/Non Shop*
✅Open Reseller
✅include Standard Packing = Bubble Wrap + Polymailer","Depok, Jawa Barat"
2023-03-27 08:13:37+00:00,1640265804133601280,IlliFadli,"Dah tak ada ke mana² Majlis Presiden Gabungan Parti Politik nak bagi 24 jam kepada Kerajaan untuk tangani kenaikan harga barang ni? Dulu ada. 

***
https://t.co/4nrdDLMNXn","Isn't there any political party presidential council for 24 hours for the government to deal with the price increase? There used to be.

***
https://t.co/4nrdlmnxn",말레이시아
2023-03-27 07:10:43+00:00,1640249975648182272,ArisyaArianna,Harga barang makin naik tapi harga diri?,The price of goods goes up but self -esteem?,"Kuala Lumpur,Malaysia"
2023-03-27 07:01:57+00:00,1640247769146478592,dccomm_gov,"2. Selain itu, kerajaan turut mengkaji kesan ke atas kos kenaikan harga barang sekiranya SKDS dilaksanakan kelak dan
sedang meneroka langkah menambah baik pemberian subsidi secara lebih bersasar","2. In addition, the government also examines the impact of the cost of rising prices if the SKDS is implemented and
is exploring steps to improve subsidies more targeted",Putrajaya Federal Territory
2023-03-27 06:13:59+00:00,1640235701055946753,mediavariasi_,"Sebabkan harga barang naik, harga roti john pon naik. Bak kata netizen, roti john ada jenis². Kalau roti John Cena murah skit,kalau roti John Wick lak harga kerass. 🤣 
Tak tahu nak nangis ke nak gelak bila dgr harga makanan kat bazar zaman sekarang 😅

https://t.co/ZP461eKGeQ","Because the price of the goods goes up, the price of John's bread goes up. According to the netizen, John bread has a kind. If John Cena bread is cheap skit, if John wick bread is the price of kerass. 🤣
Don't know how to cry to laugh at the price of food at the bazaar today 😅

https://t.co/zp461ekgeq",Cyberjaya
2023-03-27 05:52:04+00:00,1640230185487446016,RockTheMoon_Co,"✅Est EMS+TAX
💫Harga di atas masih estimasi, bisa naik/turun tergantung berat barang, pajak, kurs saat check out, dll
✅Fullset, Sealed
✅Pelunasan Shop*/Non Shop*
✅Open reseller
✅Include standar packing = bubble wrap + polymailer
✅Bisa pilih versi (A/B) https://t.co/FmqCSUQjX6","✅est EMS+Tax
💫The above price is still estimated, can rise/down heavy items, taxes, curses when checking out, etc.
✅Fullset, Sealed
✅ Shop*/Non Shop*
✅Open Reseller
✅include Standard Packing = Bubble Wrap + Polymailer
✅Choose Version (A/B) https://t.co/fmqcsuqjx6","Depok, Jawa Barat"
