Datetime,Username,Tranlsated_Tweets,Location,Cleaned_Tweets
2023-03-30 02:10:33+00:00,Xiubydoo1,Buy a 2 -month ticket before leaving for 3.3 departed Tuesday at 8 o'clock Singapore at 11 o'clock Singapore 18.5 jam because Pengen Explore Singapore upside to scoot a 10 kg dapet cabin (1 Personal 1 bag) baggage,Thailand,buy month ticket leaving departed tuesday oclock singapore oclock singapore jam pengen explore singapore upside scoot kg dapet cabin personal bag baggage
2023-03-30 01:09:07+00:00,cik_arissa,@mnrtherock @rafiziramli New to the price of goods up? Before you are in my cave? Just woke up?,Shah Alam,new price good cave woke
2023-03-30 00:10:40+00:00,ArisyaArianna,The price of goods goes up but self -esteem?,"Kuala Lumpur,Malaysia",price good go self esteem
2023-03-29 18:17:21+00:00,Salim_Iskandar,"Anney Zambry, you've been shiny lately. It seems like Nur seems to be. The case of MAPS in your silver is no longer answered. The Saudi National Embarassment case is still unclear. We are here to suffer from rising prices. You Zambry, after making a bluner… https://t.co/semrfagseb",Kuala Lumpur City,anney zambry youve shiny lately seems like nur seems case map silver longer answered saudi national embarassment case still unclear suffer rising price zambry making bluner
2023-03-29 14:39:04+00:00,Aryprasetyo85,"The President also ensures that the government will guarantee a tree in every district. The president said that it was important to keep the prices of goods and inflation.

""This is what I think of the inflation, the price goes up ... https://t.co/ekg bg4r","Jakarta Pusat, DKI Jakarta",president also ensures government guarantee tree every district president said important keep price good inflation think inflation price go bgr
2023-03-29 14:32:43+00:00,faridzramlee,@mkhairulazri tau tak pe .. but don't do anything. The price of goods is still rising 🤣🤣,Meru Klang,tau tak pe dont anything price good still rising
2023-03-29 14:09:51+00:00,bebyreesti,"@tan_rachman @gangaputraf agrees, the price of the goods is rising but the salary of the flat is 🤣 Bensin back and forth, but the salary is just that 😌","Tanjungpinang, Indonesia",agrees price good rising salary flat bensin back forth salary
2023-03-29 12:24:29+00:00,kangdede78,"The President also ensures that the government will guarantee a tree in every district. The president said that it was important to keep the prices of goods and inflation.

""This is what I think of the inflation, the price goes up ... https://t.co/venjclzhdl","Jakarta Pusat, DKI Jakarta",president also ensures government guarantee tree every district president said important keep price good inflation think inflation price go
2023-03-29 09:36:00+00:00,iina_surbakti,"""This is why I think the inflation is completely underestimated, the price goes up one, two ordinary items if the holiday is definitely like that, but ensuring that the crash should be,"" President Jokowi said.

Maros, 29 Maret 2023
BPMI Presidential Secretariat
https://t.co/mr9aegubtj https://t.co/opwnre8atk",Indonesia,think inflation completely underestimated price go one two ordinary item holiday definitely like ensuring crash president jokowi said maros maret bpmi presidential secretariat
2023-03-29 08:44:57+00:00,superluq,"Other items from cheap rise so expensive. The price of rice from expensive, rising to slightly more expensive every few months. Just bcause the price of rice does not rise suddenly, does not mean there's no problem with the starting price

Everything is relative",Malaysia,item cheap rise expensive price rice expensive rising slightly expensive every month bcause price rice rise suddenly mean there problem starting price everything relative
2023-03-29 06:34:27+00:00,rkij_sukabumi,"West Java Governor Ridwan Kamil says the price of food for food has risen this month. He said, triggers rose prices for goods due to the rising market demand.","Sukabumi, Indonesia",west java governor ridwan kamil say price food food risen month said trigger rose price good due rising market demand
2023-03-29 06:21:34+00:00,RockTheMoon_Co,"✅est EMS+Tax
💫The above price is still estimated, can rise/down heavy items, taxes, curses when checking out, etc.
✅Fullset, Sealed
✅ Shop*/Non Shop*
✅Open Reseller
❌Exclude Packing
❌Do not replace members or merchandise after order","Depok, Jawa Barat",est emstax price still estimated risedown heavy item tax curse checking etc fullset sealed shopnon shop open reseller exclude packing replace member merchandise order
2023-03-29 05:18:42+00:00,Salim_Iskandar,"@dyanasmd lead for who? We the people never chose him and he failed la. Eggs also cannot set. How? The price of the goods is not to tell. I'm Ulammm, this is the day of the oil going down. Sold to much empty dream eh? https://t.co/UEWH08KZ9V",Kuala Lumpur City,lead people never chose failed la egg also set price good tell im ulammm day oil going sold much empty dream eh
2023-03-29 04:48:47+00:00,adri_suma,The price of crawling goods goes up,"DKI Jakarta, Indonesia",price crawling good go
2023-03-29 03:14:53+00:00,encikdoomex,"PM ""X"" government should be organized
This is a rahmah pala hatok front 🤭
In the past, what DSAI supporters did not talk about expensive goods prices. The origin of the BN must be the case that the goods go up as the BN rules 🤣🤣🤣","Kedah, Malaysia",pm x government organized rahmah pala hatok front past dsai supporter talk expensive good price origin bn must case good go bn rule
2023-03-29 00:57:02+00:00,syafilanseyo,"Use the same cringe reasons ""goods are up price"" when it comes to double.

1kg sugar rises two to three cents but the sales water of RM3 rises RM5 a pack https://t.co/tpukbkfzca",ipoh,use cringe reason good price come double kg sugar rise two three cent sale water rm rise rm pack
2023-03-29 00:30:00+00:00,501Awani,"The festive season is commonly associated with rising prices of goods that are considered to be soared. What strategies and efforts can be implemented to address it to protect consumers.

#Awaninews https://t.co/leidvynq09",Malaysia,festive season commonly associated rising price good considered soared strategy effort implemented address protect consumer
2023-03-28 22:06:45+00:00,visvick32,"@ismet_ulam in Sekinchan complains to DAP. The same goes for Durian Raub. Their monopoly is silent, x can act. Cube control the price of goods? Min's salary goes up? But the foreign worker of the covid time is not available. Conducting their country's eco / gray area is a 'gray area'.",Kuala Lumpur City,sekinchan complains dap go durian raub monopoly silent x act cube control price good min salary go foreign worker covid time available conducting country eco gray area gray area
2023-03-28 16:51:59+00:00,AsahPisau,@Yaakubhawa foreign investors run away? The price of goods goes up? Where is this data?,"Kajang, Selangor",foreign investor run away price good go data
2023-03-28 14:58:14+00:00,ashafiqbal,"Undoubtedly, the price of goods goes up, the business is right to try to keep the price.","Gombak, Selangor",undoubtedly price good go business right try keep price
2023-03-28 14:55:31+00:00,amirlong36,@ih_tr @matrbag @rafiziramli yes this is the item all the stuff goes up. Menu Rahmah? The fertilizer price has risen 100% since last year. Right mercy https://t.co/AV3UH5WXZD,Kuala Lumpur City,yes item stuff go menu rahmah fertilizer price risen since last year right mercy
2023-03-28 14:19:51+00:00,amir_alpan,@ahousht @fahmy_tegal @kompastv ttp me 300s month. Yes only 300. How much does it rise to KK? I teach in the interior of Kalimantan and the roads are damaged and the prices of expensive goods,di pantai,ttp month yes much rise kk teach interior kalimantan road damaged price expensive good
2023-03-28 12:41:45+00:00,hmetromy,#Kualalumpur The Ministry of Domestic Trade and Life Cost (KPDN) received 17 complaints regarding rising prices of goods including Ramadan bazaars nationwide yesterday. https://t.co/zesmnrbjgv,Malaysia,ministry domestic trade life cost kpdn received complaint regarding rising price good including ramadan bazaar nationwide yesterday
2023-03-28 11:57:09+00:00,nnastria_,"Food prices go up, diminished goods, and apartment prices also go up 🥲",Denpasar,food price go diminished good apartment price also go
2023-03-28 10:50:43+00:00,zophanem,"3. Many expensive crazy things now. Mee Hun Mee Fried RM6. Cheap RM8 John Bread. Because in Putrajaya with prices of crude goods and oil prices, it's ok.

4. The presentation is important. The shop I bought this meal is that he puts crabs with flour. Bad crazy-",Putrajaya,many expensive crazy thing mee hun mee fried rm cheap rm john bread putrajaya price crude good oil price ok presentation important shop bought meal put crab flour bad crazy
2023-03-28 10:11:28+00:00,AuFaitMY,@syahredzan phbn sure the price of goods goes up is slander?,"Petaling, Selangor",phbn sure price good go slander
2023-03-28 10:01:12+00:00,syahiraimann,"@azlie812 @rahiminyasmine @rafiziramli what you say is right .. rafizi mmg bangang first2 but nmpk effort him .. make pc explain all .. IPR Intan human, rahmah ... as long as work .. better from pn ak ingt more price Haram is illegal xde direct effort. The Minister of Zawawi says the price of goods goes up x is over",Malaysia,say right rafizi mmg bangang first nmpk effort make pc explain ipr intan human rahmah long work better pn ak ingt price haram illegal xde direct effort minister zawawi say price good go x
2023-03-28 08:34:12+00:00,RockTheMoon_Co,"- Minimal filled 5 slots, if not filled 5 slots will be charged local korean locals est 35k-50k

✅est EMS+Tax
💫The above price is still estimated, can rise/down heavy items, taxes, curses when checking out, etc.
✅Fullset, Sealed
✅ Shop*/Non Shop*
✅Open reseller https://t.co/gxvoeccuhh","Depok, Jawa Barat",minimal filled slot filled slot charged local korean local est kk est emstax price still estimated risedown heavy item tax curse checking etc fullset sealed shopnon shop open reseller
2023-03-28 07:33:42+00:00,hmetromy,"#Kualalumpur The rise of raw prices in the capital has caused most Ramadan bazaar food traders to raise sales prices to cover costs.
https://t.co/dvhykujid0",Malaysia,rise raw price capital caused ramadan bazaar food trader raise sale price cover cost
2023-03-28 04:55:04+00:00,mediaindonesia,The importance of such breakthroughs is essential because it is currently rising in seasonal prices due to the high demand for goods and services. https://t.co/putcuwzwps,Jakarta - Indonesia,importance breakthrough essential currently rising seasonal price due high demand good service
2023-03-28 04:51:44+00:00,mater5259,"@kamalia54105994 @lhdnmofficial out EPF is not the best solution, the price of goods goes up, the cost of living now, the minister has no solution? Raise your paycheck and inflation increases .... I feel like I want to get your heart ... Only God depends on",Seremban,epf best solution price good go cost living minister solution raise paycheck inflation increase feel like want get heart god depends
2023-03-28 04:07:24+00:00,WalaunUnited,"@Bernamatv @anwaribrahim In the history of PM, this is the most useless PM. Prices of goods go up straight","Selangor, Malaysia",history pm useless pm price good go straight
2023-03-28 02:57:46+00:00,nyonyacyber,"As far as apps check prices of goods .. prices but also rise .. otherwise if any apps can make the price go down ... the problem is that the price is rising, that's what the government should look for ... Your house is going to go far away ???",kuala lumpur,far apps check price good price also rise otherwise apps make price go problem price rising thats government look house going go far away
2023-03-28 00:05:55+00:00,kosmo_online,"When the price of the goods goes up, bring the RM50 money to only two side dishes at the Ramadan bazaar https://t.co/mbf9ejx3vk",Malaysia,price good go bring rm money two side dish ramadan bazaar
2023-03-27 21:35:59+00:00,adamadlin,@Lord_mosby @malaymail @rafiziramli Before this people are not wise to evaluate prices? Then why are the people complaining about the price of goods?,Shah Alam,people wise evaluate price people complaining price good
2023-03-27 16:03:35+00:00,fakebeauty69,@jasonyew @anwaribrahim I'm weird for the price of extreme goods to rise after this PM10 rule!,Malaysia,im weird price extreme good rise pm rule
2023-03-27 15:54:13+00:00,SokongKomunisPH,@fairuz_azmi83 madaniii sguh. The price of goods goes up. Macai PH knows how to play twitter je pastu minx money. Hmmmm reform,"Perak, Malaysia",madaniii sguh price good go macai ph know play twitter je pastu minx money hmmmm reform
2023-03-27 14:05:04+00:00,jpnncom,"Update of tree wrinkles in Bantul, the price of this 3 commodity goes up #hargabarangkeringkok https://t.co/uq27rrywc2",Indonesia,update tree wrinkle bantul price commodity go
2023-03-27 13:01:41+00:00,JegukN,"@rafiziramli prices of goods go up.
Can Index Reduce Price?","Kuching, Sarawak",price good go index reduce price
2023-03-27 12:25:39+00:00,Syihabuddin93,"@wktong2012 @malaysia_kiri where is the people? Beautiful? The price of the goods didn't go down, but it went up. What's so beautiful? Indah Water?",Malaysia,people beautiful price good didnt go went whats beautiful indah water
2023-03-27 11:49:09+00:00,NaufalAntezem,"I thought I wanted to buy a john bread at a bazaar in Muar. RM 10 friends.

I understand the price goes up but the price of John's bread is the same as a plate of chicken rice soup that I sell, worried.

I've bought a sambal burger. That's 5 tablespoons RM 3 😭",Malaysia,thought wanted buy john bread bazaar muar rm friend understand price go price john bread plate chicken rice soup sell worried ive bought sambal burger thats tablespoon rm
2023-03-27 09:50:30+00:00,hasreypriady,@vijaymunisamy @apanakdikato The price of goods goes up is not a big problem .. that's his idea,Petaling Jaya,price good go big problem thats idea
2023-03-27 09:37:51+00:00,AliAhme70978158,Actually it reminded me of Egypt after Husni Mubarak fell. The Muslim Brotherhood goes up. Everyone is happy. After 2-3 months of demand. For the price of goods to go down. Want to subsidize food. The Brotherhood is already falling. Can't wait,"Seremban, Negeri Sembilan",actually reminded egypt husni mubarak fell muslim brotherhood go everyone happy month demand price good go want subsidize food brotherhood already falling cant wait
2023-03-27 09:29:58+00:00,missshimacma,Play the narrative of factory prices down. Get down where you don't know. The factory work is facing the costing rise. Get off the gap. chat.,"Selangor, Malaysia",play narrative factory price get dont know factory work facing costing rise get gap chat
2023-03-27 08:49:32+00:00,bharianmy,"#Bhnational rubber farmers are also affected by rising prices, cost of living

https://t.co/eswkchd1kf",Malaysia,rubber farmer also affected rising price cost living
2023-03-27 08:39:53+00:00,RockTheMoon_Co,"✅est EMS+Tax
💫The above price is still estimated, can rise/down heavy items, taxes, curses when checking out, etc.
✅Fullset, Sealed
✅ Shop*/Non Shop*
✅Open Reseller
✅include Standard Packing = Bubble Wrap + Polymailer
✅Choose Version/Member (LIMITED)","Depok, Jawa Barat",est emstax price still estimated risedown heavy item tax curse checking etc fullset sealed shopnon shop open reseller include standard packing bubble wrap polymailer choose versionmember limited
2023-03-27 08:36:27+00:00,RockTheMoon_Co,"✅est EMS+Tax
💫The above price is still estimated, can rise/down heavy items, taxes, curses when checking out, etc.
✅Fullset, Sealed
✅ Shop*/Non Shop*
✅Open Reseller
✅include Standard Packing = Bubble Wrap + Polymailer","Depok, Jawa Barat",est emstax price still estimated risedown heavy item tax curse checking etc fullset sealed shopnon shop open reseller include standard packing bubble wrap polymailer
2023-03-27 08:13:37+00:00,IlliFadli,"Isn't there any political party presidential council for 24 hours for the government to deal with the price increase? There used to be.

***
https://t.co/4nrdlmnxn",말레이시아,isnt political party presidential council hour government deal price increase used
2023-03-27 07:01:57+00:00,dccomm_gov,"2. In addition, the government also examines the impact of the cost of rising prices if the SKDS is implemented and
is exploring steps to improve subsidies more targeted",Putrajaya Federal Territory,addition government also examines impact cost rising price skds implemented exploring step improve subsidy targeted
2023-03-27 06:13:59+00:00,mediavariasi_,"Because the price of the goods goes up, the price of John's bread goes up. According to the netizen, John bread has a kind. If John Cena bread is cheap skit, if John wick bread is the price of kerass. 🤣
Don't know how to cry to laugh at the price of food at the bazaar today 😅

https://t.co/zp461ekgeq",Cyberjaya,price good go price john bread go according netizen john bread kind john cena bread cheap skit john wick bread price kera dont know cry laugh price food bazaar today
2023-03-27 05:52:04+00:00,RockTheMoon_Co,"✅est EMS+Tax
💫The above price is still estimated, can rise/down heavy items, taxes, curses when checking out, etc.
✅Fullset, Sealed
✅ Shop*/Non Shop*
✅Open Reseller
✅include Standard Packing = Bubble Wrap + Polymailer
✅Choose Version (A/B) https://t.co/fmqcsuqjx6","Depok, Jawa Barat",est emstax price still estimated risedown heavy item tax curse checking etc fullset sealed shopnon shop open reseller include standard packing bubble wrap polymailer choose version ab
2023-03-27 03:20:43+00:00,Solo_Bentan,"@Rajapetra fasting month to lie!

Ramdhan Market flies the people of the attack xdak sign2
- 7% price of goods goes up each month
- EPF fighters are banned banners",Malaysia,fasting month lie ramdhan market fly people attack xdak sign price good go month epf fighter banned banner
2023-03-27 02:51:19+00:00,ammarstuvwxyz,"Jews came to the business of Malaysia even to give up. Expensive sites, prices of goods go up. Yesterday I left Elmina to see the Carnival. The new site exists, roads & amp; Parking is not proper, the store is no longer possible, but the parking lot has to be paid.",Kuala Lumpur,jew came business malaysia even give expensive site price good go yesterday left elmina see carnival new site exists road amp parking proper store longer possible parking lot paid
2023-03-27 01:27:38+00:00,HudSalihudin,"@Abemicksuka The existence of cartels in the marketing channel is a real problem with the economy.
The twins are feeds to the authorities.
The end of the dark economy involves crime.
When called corruption causes the price of goods to rise, the meaning is cartel.
Well.",Malaysia,existence cartel marketing channel real problem economy twin feed authority end dark economy involves crime called corruption cause price good rise meaning cartel well
2023-03-26 21:12:02+00:00,Aldi38827787,"@Democrazymedia Prices goes up, corruption where, imported tree goods, expensive schools, expensive health is not a problem for urip jokowi.
The important thing is to see a long toll path. Let it be delicious","Kota Surabaya, Jawa Timur",price go corruption imported tree good expensive school expensive health problem urip jokowi important thing see long toll path let delicious
2023-03-26 18:20:20+00:00,elameenrahmeet_,"Expensive bazaar site. When traders are expensive, they are accused of government because prices go up. But the cause is from expensive bazaar sites.",Johorean / Kedahan,expensive bazaar site trader expensive accused government price go cause expensive bazaar site
2023-03-26 18:06:48+00:00,Simajaya22,"Just Omdo.
Smart Upin
""The work of the Minister of Trade is not
good"".
It feels like a pin,
There is no price for the goods.
The price is just as good.",Majalengka,omdo smart upin work minister trade good feel like pin price good price good
2023-03-26 13:19:35+00:00,rizieqdivist,"@arifchapter666 mnrtku mom² this is flexing. Klo bought the gold bag meant, because the price went up, he could sell it again. Don't be a 100% flexing bag. KLO is sold again for 50%. It is the defender of the same hedon gang who knows the same thing. 🤭😋",Indonesia,mnrtku mom flexing klo bought gold bag meant price went could sell dont flexing bag klo sold defender hedon gang know thing
2023-03-26 12:34:59+00:00,RstnPhoenix,@Sinaronline ape is expensive..ok price..not to find a jar of 20 bends .. even if it goes up itchy traders go up ... .,"Seremban, Negeri Sembilan",ape expensiveok pricenot find jar bend even go itchy trader go
2023-03-26 12:32:50+00:00,r3ypo,Animals are impressed by the increase in prices of goods,"Kota Kinabalu, Sabah",animal impressed increase price good
2023-03-26 12:07:02+00:00,KlutzyKucing,"Palas ketupat has risen from last year. But mmg will order every year wat chopper.

Undoubtedly, the price of the goods has gone up, even glutinous. https://t.co/o9oaydyw3a","Kuantan, Pahang",palas ketupat risen last year mmg order every year wat chopper undoubtedly price good gone even glutinous
2023-03-26 11:19:41+00:00,Kfaidzallastone,"@SinarOnline in the hope that you can find King Salman to lower the price of goods, lower the oil, pay rise and mcm2 will be able to shake hands with King Salman.","Selangor, Malaysia",hope find king salman lower price good lower oil pay rise mcm able shake hand king salman
2023-03-26 10:33:34+00:00,Amrlamnnn,"Food prices are rising
Even cooking items are getting worse
All things up
The salary does not rise 😩","Selangor, Malaysia",food price rising even cooking item getting worse thing salary rise
2023-03-26 10:30:48+00:00,SenahDebab,"Yes, no one can watch the price of the goods right now? How busy is the minister who cares for the KPDN now? Tuna in the can dock up the price once a month no one wants to care ??",Selangor,yes one watch price good right busy minister care kpdn tuna dock price month one want care
2023-03-26 09:54:22+00:00,ameer_deenz,"I don't understand this country, the price of all the goods is crazy. To say that the price of petrol in the country is rising. Who is the real control of Malaysia? Thailand is expensive petrol prices but food prices are not expensive. #Malaysiamadani",Malaysia,dont understand country price good crazy say price petrol country rising real control malaysia thailand expensive petrol price food price expensive
2023-03-26 03:21:56+00:00,Daudmajid5,@SinarOnline traders say they go up a bit because expensive raw materials buyers say expensive prices because they are not commensurate with the goods.,"Johore, Malaysia",trader say go bit expensive raw material buyer say expensive price commensurate good
2023-03-26 00:23:26+00:00,SinarOnline,"The increase in the price of the dish is not intentional as it depends on the price of raw goods, but the increase is not significant. - Business

https://t.co/tcy51xwfhd

https://t.co/tcy51xwfhd",Malaysia,increase price dish intentional depends price raw good increase significant business
2023-03-25 23:57:37+00:00,SihusinN,"Bismillah ﷺ ﷴ

Today I want to share a special gift, an e-book 5 minutes of gold science that answers 20 most frequently asked questions about gold savings
- This gold price is always up?
- Want to save gold to ASB/TH?
- What's the difference between gold and jewelry?","Petaling, Selangor",bismillah today want share special gift ebook minute gold science answer frequently asked question gold saving gold price always want save gold asbth whats difference gold jewelry
2023-03-25 23:53:03+00:00,NabilaMardzuki,"Garu heads to buy cookies yesterday, priced prices before fasting. Buy 3rd Ramadhan items almost all items up price 💆🏻‍♀️","Selangor, Malaysia",garu head buy cooky yesterday priced price fasting buy rd ramadhan item almost item price
2023-03-24 05:38:00+00:00,ValyaBea,"Twitter do your magic again please ✨✨
Open Po Slot Week Delivery Yaa
Prices rise in the car's rare guys. Drive 35k Perkilo to 40k Perkilo yes. Yuk who wants to go guys
@mahasiswamlg @infomalang @jualan_base @sbyfess @jualanmenfess https://t.co/3he0d0wv0a","Malang, Jawa Timur",twitter magic please open po slot week delivery yaa price rise car rare guy drive k perkilo k perkilo yes yuk want go guy
2023-03-20 13:19:26+00:00,Nafiqasrul,"This year I see the price of the price goes up. Last year I bought a RM180 ++ year shirt so RM280 ++ almost 3ratus yes. Photoshoot even forgets before this RM100 ++. This year is RM150 ++

Try to discuss","Ipoh, Perak",year see price price go last year bought rm year shirt rm almost ratus yes photoshoot even forgets rm year rm try discus
2023-03-20 07:31:29+00:00,Guiller53979487,"To prevent price hikes - prices have been understood by the important role of the production sector for the community

""",,prevent price hike price understood important role production sector community
2023-03-16 04:15:29+00:00,Iamzp_,"For me Anuar is wise as if purchasing power goes up, the price of goods goes up so inflation and it is impossible for many to retrenchment",Melaka,anuar wise purchasing power go price good go inflation impossible many retrenchment
2023-03-14 16:00:54+00:00,SawitMy,"Poor young people in their lives because they believe the politicians who used to be in the government but have no function ... then the people are living hard, prices of goods are starting to rise ..",Batu 16 Ayer Tawar Perak,poor young people life believe politician used government function people living hard price good starting rise
2023-03-14 03:26:45+00:00,Saida_CFPCertTm,"Endemic doesn't mean comfortable.

After the pandemic, unexpectedly, the highest inflation rate is in history while the income is still stagnant for the people. The new world economy is recovering, prices of goods rise due to the impact of the chain.","Kuala Lumpur, Wilayah Persekut",endemic doesnt mean comfortable pandemic unexpectedly highest inflation rate history income still stagnant people new world economy recovering price good rise due impact chain
2023-03-13 09:18:37+00:00,neyrashazeyra,"Prices are rising prices, fried peanut butter https://t.co/rfvqrmaljr",Malaysia,price rising price fried peanut butter
2023-03-13 07:25:24+00:00,freddoted,@Khaiyalan69 hahaha haah. I noticed the price of goods went up for a long time. I don't have any kids. What else people have a family,,hahaha haah noticed price good went long time dont kid else people family
2023-03-12 11:49:05+00:00,Ir_Khairulazwa,"Right .. Agree .. As a person who goes to the market every week because of the healing 😂 .. The price of the expensive goods, it feels like the increase is that I made excel in google drive for the record of all my kitchen purchases for 3 months to revise the budget kitchenware.","Johore, Malaysia",right agree person go market every week healing price expensive good feel like increase made excel google drive record kitchen purchase month revise budget kitchenware
2023-03-11 17:07:14+00:00,anis_zakiah25,@Iununanon really feels the price of this item 😭,selangor,really feel price item
2023-03-11 15:30:03+00:00,CikShamsulPSRTM,Nowadays with high prices of goods and high cost of living ... some are starving and belly ... this is a reality is not fantasy.,"HULU KELANG,KL,MALAYSIA",nowadays high price good high cost living starving belly reality fantasy
2023-03-11 07:25:09+00:00,noraakira,But if the bonus is not for sis..yes tau nowadays it is a lot of money problems..x nafi is indeed the price of goods goes up but not the only reason for the situation ..,Malaysia,bonus sisyes tau nowadays lot money problemsx nafi indeed price good go reason situation
2023-03-06 04:49:32+00:00,tinaketiketana_,@Ikhjah ye right. The price of the goods is rising 🥹🥹,MALAYSIA,ye right price good rising
2023-03-01 03:47:58+00:00,hazmeerrojani,The goods are all priced. How many months do you want to ride Faker. That's crazy.,"Nilai, Negeri Sembilan",good priced many month want ride faker thats crazy
2023-03-01 00:18:01+00:00,RozmalMalakan,Definitely the price of goods goes up https://t.co/ce4e2aj1un,"Seremban, Negeri Sembilan",definitely price good go
2023-02-28 10:56:43+00:00,suran_reds2002,Help the people what the price of the goods goes up ... Ripple Effects,"Liverpool, England",help people price good go ripple effect
2023-02-28 10:20:37+00:00,_faridafandi,This month's kitchenware is really up to the price,Kuale Kangsor Perak,month kitchenware really price
2023-02-26 07:50:07+00:00,iambellilypad,"At least there is a political will to help reduce the burden of the people, not just to say the rise in prices of goods is inevitable. WAY TO GO UNITY GOV !!!","Sometimes in MY, Mostly in QA",least political help reduce burden people say rise price good inevitable way go unity gov
2023-02-22 03:18:31+00:00,falishaaa22,"✅ Price rising price, weight loss down
✅ Prices already include EMSTAX & amp; Local Shipping

💳 Shopeepay and funds
🛒 Order by DM/WA

📝est comes 3-4 weeks when the goods arrived wh k

❌Cancel DP burns ❌

#Jimin_face #jimin #bts #army #indonesia 🇮🇩 #Preorder","Kota Surabaya, Jawa Timur",price rising price weight loss price already include emstax amp local shipping shopeepay fund order dmwa est come week good arrived wh k cancel dp burn
2023-02-21 04:09:18+00:00,Senggiaw,"The price of goods continues to rise. This is due to the factors. The conflicts between America and Russia involve Ukraine.All, Canada and the European Union help Ukraine and increase economic sanctions against Russia. Russia replied. The conflict does not stop. https://t.co/dvqwqvnf4u",,price good continues rise due factor conflict america russia involve ukraineall canada european union help ukraine increase economic sanction russia russia replied conflict stop
2023-02-19 02:56:28+00:00,marouapplehijau,"Mostly Uniqlo 2023 goods are up. unconsciously

1st Recycle Tote Bag Price from RM7.90 & GT; RM9.90 last year","Kuala Lumpur City, Kuala Lumpu",mostly uniqlo good unconsciously st recycle tote bag price rm gt rm last year
2023-02-18 09:18:38+00:00,ZBinAli4,"@fahmi_fadzil I am worried that this issue will be part of the biggest world (now evidence is clear) whether the Rahmah menu can survive which may influence the price increase. All the menu will complain, to buy high raw goods. https://t.co/coafhzw9v7",,worried issue part biggest world evidence clear whether rahmah menu survive may influence price increase menu complain buy high raw good
2023-02-18 08:38:13+00:00,neverthar,@mkini_bm What's the point of raising pay if the necessities go up price ???,"Anywhere, Somewhere",whats point raising pay necessity go price
